delta_1_volume,delta_2_volume,delta_3_volume,delta_4_volume,delta_5_volume,is_next_1,is_next_2,is_next_3,is_next_4,is_next_5,is_next_6,pre_1,pre_1_has_etc,pre_1_vehicle_model_0,pre_1_vehicle_model_1,pre_1_vehicle_model_2,pre_1_vehicle_model_3,pre_1_vehicle_model_4,pre_1_vehicle_model_5,pre_1_vehicle_model_6,pre_1_vehicle_model_7,pre_1_vehicle_type_0,pre_1_vehicle_type_1,pre_2,pre_2_has_etc,pre_2_vehicle_model_0,pre_2_vehicle_model_1,pre_2_vehicle_model_2,pre_2_vehicle_model_3,pre_2_vehicle_model_4,pre_2_vehicle_model_5,pre_2_vehicle_model_6,pre_2_vehicle_model_7,pre_2_vehicle_type_0,pre_2_vehicle_type_1,pre_3,pre_3_has_etc,pre_3_vehicle_model_0,pre_3_vehicle_model_1,pre_3_vehicle_model_2,pre_3_vehicle_model_3,pre_3_vehicle_model_4,pre_3_vehicle_model_5,pre_3_vehicle_model_6,pre_3_vehicle_model_7,pre_3_vehicle_type_0,pre_3_vehicle_type_1,pre_4,pre_4_has_etc,pre_4_vehicle_model_0,pre_4_vehicle_model_1,pre_4_vehicle_model_2,pre_4_vehicle_model_3,pre_4_vehicle_model_4,pre_4_vehicle_model_5,pre_4_vehicle_model_6,pre_4_vehicle_model_7,pre_4_vehicle_type_0,pre_4_vehicle_type_1,pre_5,pre_5_has_etc,pre_5_vehicle_model_0,pre_5_vehicle_model_1,pre_5_vehicle_model_2,pre_5_vehicle_model_3,pre_5_vehicle_model_4,pre_5_vehicle_model_5,pre_5_vehicle_model_6,pre_5_vehicle_model_7,pre_5_vehicle_type_0,pre_5_vehicle_type_1,pre_6,pre_6_has_etc,pre_6_vehicle_model_0,pre_6_vehicle_model_1,pre_6_vehicle_model_2,pre_6_vehicle_model_3,pre_6_vehicle_model_4,pre_6_vehicle_model_5,pre_6_vehicle_model_6,pre_6_vehicle_model_7,pre_6_vehicle_type_0,pre_6_vehicle_type_1,pre_avg,starttime
"4.0","4.0","10.0","-3.0","19.0","1.0","0.0","0.0","0.0","0.0","0.0","13.0","2.0","0.0","13.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17.0","5.0","0.0","13.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21.0","9.0","0.0","16.0","3.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","31.0","13.0","0.0","22.0","7.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","28.0","5.0","0.0","25.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","47.0","10.0","0.0","41.0","5.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","26.0","2016-10-18 08:00:00"
"4.0","4.0","10.0","-3.0","19.0","0.0","1.0","0.0","0.0","0.0","0.0","13.0","2.0","0.0","13.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17.0","5.0","0.0","13.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21.0","9.0","0.0","16.0","3.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","31.0","13.0","0.0","22.0","7.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","28.0","5.0","0.0","25.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","47.0","10.0","0.0","41.0","5.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","26.0","2016-10-18 08:20:00"
"4.0","4.0","10.0","-3.0","19.0","0.0","0.0","1.0","0.0","0.0","0.0","13.0","2.0","0.0","13.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17.0","5.0","0.0","13.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21.0","9.0","0.0","16.0","3.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","31.0","13.0","0.0","22.0","7.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","28.0","5.0","0.0","25.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","47.0","10.0","0.0","41.0","5.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","26.0","2016-10-18 08:40:00"
"4.0","4.0","10.0","-3.0","19.0","0.0","0.0","0.0","1.0","0.0","0.0","13.0","2.0","0.0","13.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17.0","5.0","0.0","13.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21.0","9.0","0.0","16.0","3.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","31.0","13.0","0.0","22.0","7.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","28.0","5.0","0.0","25.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","47.0","10.0","0.0","41.0","5.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","26.0","2016-10-18 09:00:00"
"4.0","4.0","10.0","-3.0","19.0","0.0","0.0","0.0","0.0","1.0","0.0","13.0","2.0","0.0","13.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17.0","5.0","0.0","13.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21.0","9.0","0.0","16.0","3.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","31.0","13.0","0.0","22.0","7.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","28.0","5.0","0.0","25.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","47.0","10.0","0.0","41.0","5.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","26.0","2016-10-18 09:20:00"
"4.0","4.0","10.0","-3.0","19.0","0.0","0.0","0.0","0.0","0.0","1.0","13.0","2.0","0.0","13.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17.0","5.0","0.0","13.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21.0","9.0","0.0","16.0","3.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","31.0","13.0","0.0","22.0","7.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","28.0","5.0","0.0","25.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","47.0","10.0","0.0","41.0","5.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","26.0","2016-10-18 09:40:00"
"-14.0","-3.0","22.0","-12.0","8.0","1.0","0.0","0.0","0.0","0.0","0.0","52.0","13.0","0.0","48.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","38.0","7.0","0.0","36.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","35.0","11.0","0.0","35.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","57.0","12.0","0.0","55.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","45.0","15.0","0.0","42.0","2.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","53.0","16.0","0.0","46.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","46.0","2016-10-18 17:00:00"
"-14.0","-3.0","22.0","-12.0","8.0","0.0","1.0","0.0","0.0","0.0","0.0","52.0","13.0","0.0","48.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","38.0","7.0","0.0","36.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","35.0","11.0","0.0","35.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","57.0","12.0","0.0","55.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","45.0","15.0","0.0","42.0","2.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","53.0","16.0","0.0","46.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","46.0","2016-10-18 17:20:00"
"-14.0","-3.0","22.0","-12.0","8.0","0.0","0.0","1.0","0.0","0.0","0.0","52.0","13.0","0.0","48.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","38.0","7.0","0.0","36.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","35.0","11.0","0.0","35.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","57.0","12.0","0.0","55.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","45.0","15.0","0.0","42.0","2.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","53.0","16.0","0.0","46.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","46.0","2016-10-18 17:40:00"
"-14.0","-3.0","22.0","-12.0","8.0","0.0","0.0","0.0","1.0","0.0","0.0","52.0","13.0","0.0","48.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","38.0","7.0","0.0","36.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","35.0","11.0","0.0","35.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","57.0","12.0","0.0","55.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","45.0","15.0","0.0","42.0","2.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","53.0","16.0","0.0","46.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","46.0","2016-10-18 18:00:00"
